audio_path,face_path,identity,facenet_feats_path,label,wav2vec2_feats_path,wav2vec2id_feats_path,wavlmsv_feats_path,ecappa_feats_path
./v1/voices/id0001/Urdu/0R7kQU1AxK8/00000.wav,./v1/faces/id0001/Urdu/0R7kQU1AxK8/0001775.jpg,id0001,./facenetfeats/v1\faces\id0001\Urdu\0R7kQU1AxK8\0001775.npy,0.0,./wav2vec2feats/v1\voices\id0001\Urdu\0R7kQU1AxK8\00000.npy,./wav2vec2featsid/v1\voices\id0001\Urdu\0R7kQU1AxK8\00000.npy,./wavlmsvfeats/v1\voices\id0001\Urdu\0R7kQU1AxK8\00000.npy,./ecappafeats/v1\voices\id0001\Urdu\0R7kQU1AxK8\00000.npy
./v1/voices/id0001/Urdu/0R7kQU1AxK8/00001.wav,./v1/faces/id0001/Urdu/0R7kQU1AxK8/0001300.jpg,id0001,./facenetfeats/v1\faces\id0001\Urdu\0R7kQU1AxK8\0001300.npy,0.0,./wav2vec2feats/v1\voices\id0001\Urdu\0R7kQU1AxK8\00001.npy,./wav2vec2featsid/v1\voices\id0001\Urdu\0R7kQU1AxK8\00001.npy,./wavlmsvfeats/v1\voices\id0001\Urdu\0R7kQU1AxK8\00001.npy,./ecappafeats/v1\voices\id0001\Urdu\0R7kQU1AxK8\00001.npy
./v1/voices/id0001/Urdu/0R7kQU1AxK8/00002.wav,./v1/faces/id0001/Urdu/0R7kQU1AxK8/0003150.jpg,id0001,./facenetfeats/v1\faces\id0001\Urdu\0R7kQU1AxK8\0003150.npy,0.0,./wav2vec2feats/v1\voices\id0001\Urdu\0R7kQU1AxK8\00002.npy,./wav2vec2featsid/v1\voices\id0001\Urdu\0R7kQU1AxK8\00002.npy,./wavlmsvfeats/v1\voices\id0001\Urdu\0R7kQU1AxK8\00002.npy,./ecappafeats/v1\voices\id0001\Urdu\0R7kQU1AxK8\00002.npy
./v1/voices/id0001/Urdu/0R7kQU1AxK8/00003.wav,./v1/faces/id0001/Urdu/0R7kQU1AxK8/0000500.jpg,id0001,./facenetfeats/v1\faces\id0001\Urdu\0R7kQU1AxK8\0000500.npy,0.0,./wav2vec2feats/v1\voices\id0001\Urdu\0R7kQU1AxK8\00003.npy,./wav2vec2featsid/v1\voices\id0001\Urdu\0R7kQU1AxK8\00003.npy,./wavlmsvfeats/v1\voices\id0001\Urdu\0R7kQU1AxK8\00003.npy,./ecappafeats/v1\voices\id0001\Urdu\0R7kQU1AxK8\00003.npy
./v1/voices/id0001/Urdu/0R7kQU1AxK8/00004.wav,./v1/faces/id0001/Urdu/0R7kQU1AxK8/0000300.jpg,id0001,./facenetfeats/v1\faces\id0001\Urdu\0R7kQU1AxK8\0000300.npy,0.0,./wav2vec2feats/v1\voices\id0001\Urdu\0R7kQU1AxK8\00004.npy,./wav2vec2featsid/v1\voices\id0001\Urdu\0R7kQU1AxK8\00004.npy,./wavlmsvfeats/v1\voices\id0001\Urdu\0R7kQU1AxK8\00004.npy,./ecappafeats/v1\voices\id0001\Urdu\0R7kQU1AxK8\00004.npy
./v1/voices/id0001/Urdu/0R7kQU1AxK8/00005.wav,./v1/faces/id0001/Urdu/0R7kQU1AxK8/0002700.jpg,id0001,./facenetfeats/v1\faces\id0001\Urdu\0R7kQU1AxK8\0002700.npy,0.0,./wav2vec2feats/v1\voices\id0001\Urdu\0R7kQU1AxK8\00005.npy,./wav2vec2featsid/v1\voices\id0001\Urdu\0R7kQU1AxK8\00005.npy,./wavlmsvfeats/v1\voices\id0001\Urdu\0R7kQU1AxK8\00005.npy,./ecappafeats/v1\voices\id0001\Urdu\0R7kQU1AxK8\00005.npy
./v1/voices/id0001/Urdu/UP5R5jhcXzo/00000.wav,./v1/faces/id0001/Urdu/UP5R5jhcXzo/0003050.jpg,id0001,./facenetfeats/v1\faces\id0001\Urdu\UP5R5jhcXzo\0003050.npy,0.0,./wav2vec2feats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00000.npy,./wav2vec2featsid/v1\voices\id0001\Urdu\UP5R5jhcXzo\00000.npy,./wavlmsvfeats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00000.npy,./ecappafeats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00000.npy
./v1/voices/id0001/Urdu/UP5R5jhcXzo/00001.wav,./v1/faces/id0001/Urdu/UP5R5jhcXzo/0000500.jpg,id0001,./facenetfeats/v1\faces\id0001\Urdu\UP5R5jhcXzo\0000500.npy,0.0,./wav2vec2feats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00001.npy,./wav2vec2featsid/v1\voices\id0001\Urdu\UP5R5jhcXzo\00001.npy,./wavlmsvfeats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00001.npy,./ecappafeats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00001.npy
./v1/voices/id0001/Urdu/UP5R5jhcXzo/00002.wav,./v1/faces/id0001/Urdu/UP5R5jhcXzo/0000450.jpg,id0001,./facenetfeats/v1\faces\id0001\Urdu\UP5R5jhcXzo\0000450.npy,0.0,./wav2vec2feats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00002.npy,./wav2vec2featsid/v1\voices\id0001\Urdu\UP5R5jhcXzo\00002.npy,./wavlmsvfeats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00002.npy,./ecappafeats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00002.npy
./v1/voices/id0001/Urdu/UP5R5jhcXzo/00003.wav,./v1/faces/id0001/Urdu/UP5R5jhcXzo/0002450.jpg,id0001,./facenetfeats/v1\faces\id0001\Urdu\UP5R5jhcXzo\0002450.npy,0.0,./wav2vec2feats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00003.npy,./wav2vec2featsid/v1\voices\id0001\Urdu\UP5R5jhcXzo\00003.npy,./wavlmsvfeats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00003.npy,./ecappafeats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00003.npy
./v1/voices/id0001/Urdu/UP5R5jhcXzo/00004.wav,./v1/faces/id0001/Urdu/UP5R5jhcXzo/0000900.jpg,id0001,./facenetfeats/v1\faces\id0001\Urdu\UP5R5jhcXzo\0000900.npy,0.0,./wav2vec2feats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00004.npy,./wav2vec2featsid/v1\voices\id0001\Urdu\UP5R5jhcXzo\00004.npy,./wavlmsvfeats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00004.npy,./ecappafeats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00004.npy
./v1/voices/id0001/Urdu/UP5R5jhcXzo/00005.wav,./v1/faces/id0001/Urdu/UP5R5jhcXzo/0002400.jpg,id0001,./facenetfeats/v1\faces\id0001\Urdu\UP5R5jhcXzo\0002400.npy,0.0,./wav2vec2feats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00005.npy,./wav2vec2featsid/v1\voices\id0001\Urdu\UP5R5jhcXzo\00005.npy,./wavlmsvfeats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00005.npy,./ecappafeats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00005.npy
./v1/voices/id0001/Urdu/UP5R5jhcXzo/00006.wav,./v1/faces/id0001/Urdu/UP5R5jhcXzo/0001200.jpg,id0001,./facenetfeats/v1\faces\id0001\Urdu\UP5R5jhcXzo\0001200.npy,0.0,./wav2vec2feats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00006.npy,./wav2vec2featsid/v1\voices\id0001\Urdu\UP5R5jhcXzo\00006.npy,./wavlmsvfeats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00006.npy,./ecappafeats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00006.npy
./v1/voices/id0001/Urdu/UP5R5jhcXzo/00007.wav,./v1/faces/id0001/Urdu/UP5R5jhcXzo/0000550.jpg,id0001,./facenetfeats/v1\faces\id0001\Urdu\UP5R5jhcXzo\0000550.npy,0.0,./wav2vec2feats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00007.npy,./wav2vec2featsid/v1\voices\id0001\Urdu\UP5R5jhcXzo\00007.npy,./wavlmsvfeats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00007.npy,./ecappafeats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00007.npy
./v1/voices/id0001/Urdu/UP5R5jhcXzo/00008.wav,./v1/faces/id0001/Urdu/UP5R5jhcXzo/0001900.jpg,id0001,./facenetfeats/v1\faces\id0001\Urdu\UP5R5jhcXzo\0001900.npy,0.0,./wav2vec2feats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00008.npy,./wav2vec2featsid/v1\voices\id0001\Urdu\UP5R5jhcXzo\00008.npy,./wavlmsvfeats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00008.npy,./ecappafeats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00008.npy
./v1/voices/id0001/Urdu/UP5R5jhcXzo/00009.wav,./v1/faces/id0001/Urdu/UP5R5jhcXzo/0004450.jpg,id0001,./facenetfeats/v1\faces\id0001\Urdu\UP5R5jhcXzo\0004450.npy,0.0,./wav2vec2feats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00009.npy,./wav2vec2featsid/v1\voices\id0001\Urdu\UP5R5jhcXzo\00009.npy,./wavlmsvfeats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00009.npy,./ecappafeats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00009.npy
./v1/voices/id0001/Urdu/UP5R5jhcXzo/00010.wav,./v1/faces/id0001/Urdu/UP5R5jhcXzo/0000950.jpg,id0001,./facenetfeats/v1\faces\id0001\Urdu\UP5R5jhcXzo\0000950.npy,0.0,./wav2vec2feats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00010.npy,./wav2vec2featsid/v1\voices\id0001\Urdu\UP5R5jhcXzo\00010.npy,./wavlmsvfeats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00010.npy,./ecappafeats/v1\voices\id0001\Urdu\UP5R5jhcXzo\00010.npy
./v1/voices/id0001/Urdu/JdSfeIiuSh8/00000.wav,./v1/faces/id0001/Urdu/JdSfeIiuSh8/0015325.jpg,id0001,./facenetfeats/v1\faces\id0001\Urdu\JdSfeIiuSh8\0015325.npy,0.0,./wav2vec2feats/v1\voices\id0001\Urdu\JdSfeIiuSh8\00000.npy,./wav2vec2featsid/v1\voices\id0001\Urdu\JdSfeIiuSh8\00000.npy,./wavlmsvfeats/v1\voices\id0001\Urdu\JdSfeIiuSh8\00000.npy,./ecappafeats/v1\voices\id0001\Urdu\JdSfeIiuSh8\00000.npy
./v1/voices/id0001/Urdu/JdSfeIiuSh8/00001.wav,./v1/faces/id0001/Urdu/JdSfeIiuSh8/0012000.jpg,id0001,./facenetfeats/v1\faces\id0001\Urdu\JdSfeIiuSh8\0012000.npy,0.0,./wav2vec2feats/v1\voices\id0001\Urdu\JdSfeIiuSh8\00001.npy,./wav2vec2featsid/v1\voices\id0001\Urdu\JdSfeIiuSh8\00001.npy,./wavlmsvfeats/v1\voices\id0001\Urdu\JdSfeIiuSh8\00001.npy,./ecappafeats/v1\voices\id0001\Urdu\JdSfeIiuSh8\00001.npy
