audio_path,face_path,identity,facenet_feats_path,label,ecappa_feats_path,wavlmsv_feats_path
./v3/voices/id0001/English/h_vamljclHE/00000.wav,./v3/faces/id0001/English/h_vamljclHE/000001550.jpg,id0001,./facenetfeats/v3\faces\id0001\English\h_vamljclHE\000001550.npy,0.0,./ecappafeats/v3\voices\id0001\English\h_vamljclHE\00000.npy,./wavlmsvfeats/v3\voices\id0001\English\h_vamljclHE\00000.npy
./v3/voices/id0001/English/XtKYDOsvsG0/00000.wav,./v3/faces/id0001/English/XtKYDOsvsG0/000010051.jpg,id0001,./facenetfeats/v3\faces\id0001\English\XtKYDOsvsG0\000010051.npy,0.0,./ecappafeats/v3\voices\id0001\English\XtKYDOsvsG0\00000.npy,./wavlmsvfeats/v3\voices\id0001\English\XtKYDOsvsG0\00000.npy
./v3/voices/id0001/English/XtKYDOsvsG0/00001.wav,./v3/faces/id0001/English/XtKYDOsvsG0/000000112.jpg,id0001,./facenetfeats/v3\faces\id0001\English\XtKYDOsvsG0\000000112.npy,0.0,./ecappafeats/v3\voices\id0001\English\XtKYDOsvsG0\00001.npy,./wavlmsvfeats/v3\voices\id0001\English\XtKYDOsvsG0\00001.npy
./v3/voices/id0001/English/uXyNswH9Tus/00000.wav,./v3/faces/id0001/English/uXyNswH9Tus/000000825.jpg,id0001,./facenetfeats/v3\faces\id0001\English\uXyNswH9Tus\000000825.npy,0.0,./ecappafeats/v3\voices\id0001\English\uXyNswH9Tus\00000.npy,./wavlmsvfeats/v3\voices\id0001\English\uXyNswH9Tus\00000.npy
./v3/voices/id0001/English/msPfcIocWrc/00000.wav,./v3/faces/id0001/English/msPfcIocWrc/000000450.jpg,id0001,./facenetfeats/v3\faces\id0001\English\msPfcIocWrc\000000450.npy,0.0,./ecappafeats/v3\voices\id0001\English\msPfcIocWrc\00000.npy,./wavlmsvfeats/v3\voices\id0001\English\msPfcIocWrc\00000.npy
./v3/voices/id0001/English/msPfcIocWrc/00001.wav,./v3/faces/id0001/English/msPfcIocWrc/000010250.jpg,id0001,./facenetfeats/v3\faces\id0001\English\msPfcIocWrc\000010250.npy,0.0,./ecappafeats/v3\voices\id0001\English\msPfcIocWrc\00001.npy,./wavlmsvfeats/v3\voices\id0001\English\msPfcIocWrc\00001.npy
./v3/voices/id0001/English/msPfcIocWrc/00002.wav,./v3/faces/id0001/English/msPfcIocWrc/000000325.jpg,id0001,./facenetfeats/v3\faces\id0001\English\msPfcIocWrc\000000325.npy,0.0,./ecappafeats/v3\voices\id0001\English\msPfcIocWrc\00002.npy,./wavlmsvfeats/v3\voices\id0001\English\msPfcIocWrc\00002.npy
./v3/voices/id0002/English/gvPM4ePeZ0s/00000.wav,./v3/faces/id0002/English/gvPM4ePeZ0s/000050475.jpg,id0002,./facenetfeats/v3\faces\id0002\English\gvPM4ePeZ0s\000050475.npy,1.0,./ecappafeats/v3\voices\id0002\English\gvPM4ePeZ0s\00000.npy,./wavlmsvfeats/v3\voices\id0002\English\gvPM4ePeZ0s\00000.npy
./v3/voices/id0002/English/gvPM4ePeZ0s/00001.wav,./v3/faces/id0002/English/gvPM4ePeZ0s/000020225.jpg,id0002,./facenetfeats/v3\faces\id0002\English\gvPM4ePeZ0s\000020225.npy,1.0,./ecappafeats/v3\voices\id0002\English\gvPM4ePeZ0s\00001.npy,./wavlmsvfeats/v3\voices\id0002\English\gvPM4ePeZ0s\00001.npy
./v3/voices/id0002/English/gvPM4ePeZ0s/00002.wav,./v3/faces/id0002/English/gvPM4ePeZ0s/000000800.jpg,id0002,./facenetfeats/v3\faces\id0002\English\gvPM4ePeZ0s\000000800.npy,1.0,./ecappafeats/v3\voices\id0002\English\gvPM4ePeZ0s\00002.npy,./wavlmsvfeats/v3\voices\id0002\English\gvPM4ePeZ0s\00002.npy
./v3/voices/id0002/English/gvPM4ePeZ0s/00003.wav,./v3/faces/id0002/English/gvPM4ePeZ0s/000050450.jpg,id0002,./facenetfeats/v3\faces\id0002\English\gvPM4ePeZ0s\000050450.npy,1.0,./ecappafeats/v3\voices\id0002\English\gvPM4ePeZ0s\00003.npy,./wavlmsvfeats/v3\voices\id0002\English\gvPM4ePeZ0s\00003.npy
./v3/voices/id0002/English/gvPM4ePeZ0s/00004.wav,./v3/faces/id0002/English/gvPM4ePeZ0s/000030225.jpg,id0002,./facenetfeats/v3\faces\id0002\English\gvPM4ePeZ0s\000030225.npy,1.0,./ecappafeats/v3\voices\id0002\English\gvPM4ePeZ0s\00004.npy,./wavlmsvfeats/v3\voices\id0002\English\gvPM4ePeZ0s\00004.npy
./v3/voices/id0002/English/gvPM4ePeZ0s/00005.wav,./v3/faces/id0002/English/gvPM4ePeZ0s/000050400.jpg,id0002,./facenetfeats/v3\faces\id0002\English\gvPM4ePeZ0s\000050400.npy,1.0,./ecappafeats/v3\voices\id0002\English\gvPM4ePeZ0s\00005.npy,./wavlmsvfeats/v3\voices\id0002\English\gvPM4ePeZ0s\00005.npy
./v3/voices/id0002/English/gvPM4ePeZ0s/00006.wav,./v3/faces/id0002/English/gvPM4ePeZ0s/000010450.jpg,id0002,./facenetfeats/v3\faces\id0002\English\gvPM4ePeZ0s\000010450.npy,1.0,./ecappafeats/v3\voices\id0002\English\gvPM4ePeZ0s\00006.npy,./wavlmsvfeats/v3\voices\id0002\English\gvPM4ePeZ0s\00006.npy
./v3/voices/id0002/English/awN05jdeg90/00002.wav,./v3/faces/id0002/English/awN05jdeg90/000321050.jpg,id0002,./facenetfeats/v3\faces\id0002\English\awN05jdeg90\000321050.npy,1.0,./ecappafeats/v3\voices\id0002\English\awN05jdeg90\00002.npy,./wavlmsvfeats/v3\voices\id0002\English\awN05jdeg90\00002.npy
./v3/voices/id0002/English/awN05jdeg90/00010.wav,./v3/faces/id0002/English/awN05jdeg90/000241575.jpg,id0002,./facenetfeats/v3\faces\id0002\English\awN05jdeg90\000241575.npy,1.0,./ecappafeats/v3\voices\id0002\English\awN05jdeg90\00010.npy,./wavlmsvfeats/v3\voices\id0002\English\awN05jdeg90\00010.npy
./v3/voices/id0002/English/awN05jdeg90/00015.wav,./v3/faces/id0002/English/awN05jdeg90/000240325.jpg,id0002,./facenetfeats/v3\faces\id0002\English\awN05jdeg90\000240325.npy,1.0,./ecappafeats/v3\voices\id0002\English\awN05jdeg90\00015.npy,./wavlmsvfeats/v3\voices\id0002\English\awN05jdeg90\00015.npy
./v3/voices/id0002/English/awN05jdeg90/00020.wav,./v3/faces/id0002/English/awN05jdeg90/000200500.jpg,id0002,./facenetfeats/v3\faces\id0002\English\awN05jdeg90\000200500.npy,1.0,./ecappafeats/v3\voices\id0002\English\awN05jdeg90\00020.npy,./wavlmsvfeats/v3\voices\id0002\English\awN05jdeg90\00020.npy
./v3/voices/id0002/English/awN05jdeg90/00024.wav,./v3/faces/id0002/English/awN05jdeg90/000240225.jpg,id0002,./facenetfeats/v3\faces\id0002\English\awN05jdeg90\000240225.npy,1.0,./ecappafeats/v3\voices\id0002\English\awN05jdeg90\00024.npy,./wavlmsvfeats/v3\voices\id0002\English\awN05jdeg90\00024.npy
./v3/voices/id0002/English/awN05jdeg90/00032.wav,./v3/faces/id0002/English/awN05jdeg90/000100425.jpg,id0002,./facenetfeats/v3\faces\id0002\English\awN05jdeg90\000100425.npy,1.0,./ecappafeats/v3\voices\id0002\English\awN05jdeg90\00032.npy,./wavlmsvfeats/v3\voices\id0002\English\awN05jdeg90\00032.npy
./v3/voices/id0004/English/d1dKPTJWsYs/00000.wav,./v3/faces/id0004/English/d1dKPTJWsYs/000000775.jpg,id0004,./facenetfeats/v3\faces\id0004\English\d1dKPTJWsYs\000000775.npy,2.0,./ecappafeats/v3\voices\id0004\English\d1dKPTJWsYs\00000.npy,./wavlmsvfeats/v3\voices\id0004\English\d1dKPTJWsYs\00000.npy
./v3/voices/id0004/English/d1dKPTJWsYs/00001.wav,./v3/faces/id0004/English/d1dKPTJWsYs/000010550.jpg,id0004,./facenetfeats/v3\faces\id0004\English\d1dKPTJWsYs\000010550.npy,2.0,./ecappafeats/v3\voices\id0004\English\d1dKPTJWsYs\00001.npy,./wavlmsvfeats/v3\voices\id0004\English\d1dKPTJWsYs\00001.npy
./v3/voices/id0004/English/e66dp7tBBls/00001.wav,./v3/faces/id0004/English/e66dp7tBBls/000010075.jpg,id0004,./facenetfeats/v3\faces\id0004\English\e66dp7tBBls\000010075.npy,2.0,./ecappafeats/v3\voices\id0004\English\e66dp7tBBls\00001.npy,./wavlmsvfeats/v3\voices\id0004\English\e66dp7tBBls\00001.npy
./v3/voices/id0004/English/e66dp7tBBls/00010.wav,./v3/faces/id0004/English/e66dp7tBBls/000160050.jpg,id0004,./facenetfeats/v3\faces\id0004\English\e66dp7tBBls\000160050.npy,2.0,./ecappafeats/v3\voices\id0004\English\e66dp7tBBls\00010.npy,./wavlmsvfeats/v3\voices\id0004\English\e66dp7tBBls\00010.npy
./v3/voices/id0004/English/e66dp7tBBls/00016.wav,./v3/faces/id0004/English/e66dp7tBBls/000010100.jpg,id0004,./facenetfeats/v3\faces\id0004\English\e66dp7tBBls\000010100.npy,2.0,./ecappafeats/v3\voices\id0004\English\e66dp7tBBls\00016.npy,./wavlmsvfeats/v3\voices\id0004\English\e66dp7tBBls\00016.npy
./v3/voices/id0004/English/e66dp7tBBls/00017.wav,./v3/faces/id0004/English/e66dp7tBBls/000010050.jpg,id0004,./facenetfeats/v3\faces\id0004\English\e66dp7tBBls\000010050.npy,2.0,./ecappafeats/v3\voices\id0004\English\e66dp7tBBls\00017.npy,./wavlmsvfeats/v3\voices\id0004\English\e66dp7tBBls\00017.npy
./v3/voices/id0004/English/zj-c7DJ5NW4/00000.wav,./v3/faces/id0004/English/zj-c7DJ5NW4/000220025.jpg,id0004,./facenetfeats/v3\faces\id0004\English\zj-c7DJ5NW4\000220025.npy,2.0,./ecappafeats/v3\voices\id0004\English\zj-c7DJ5NW4\00000.npy,./wavlmsvfeats/v3\voices\id0004\English\zj-c7DJ5NW4\00000.npy
./v3/voices/id0004/English/zj-c7DJ5NW4/00001.wav,./v3/faces/id0004/English/zj-c7DJ5NW4/000000150.jpg,id0004,./facenetfeats/v3\faces\id0004\English\zj-c7DJ5NW4\000000150.npy,2.0,./ecappafeats/v3\voices\id0004\English\zj-c7DJ5NW4\00001.npy,./wavlmsvfeats/v3\voices\id0004\English\zj-c7DJ5NW4\00001.npy
./v3/voices/id0004/English/zj-c7DJ5NW4/00002.wav,./v3/faces/id0004/English/zj-c7DJ5NW4/000030225.jpg,id0004,./facenetfeats/v3\faces\id0004\English\zj-c7DJ5NW4\000030225.npy,2.0,./ecappafeats/v3\voices\id0004\English\zj-c7DJ5NW4\00002.npy,./wavlmsvfeats/v3\voices\id0004\English\zj-c7DJ5NW4\00002.npy
./v3/voices/id0004/English/zj-c7DJ5NW4/00003.wav,./v3/faces/id0004/English/zj-c7DJ5NW4/000030175.jpg,id0004,./facenetfeats/v3\faces\id0004\English\zj-c7DJ5NW4\000030175.npy,2.0,./ecappafeats/v3\voices\id0004\English\zj-c7DJ5NW4\00003.npy,./wavlmsvfeats/v3\voices\id0004\English\zj-c7DJ5NW4\00003.npy
./v3/voices/id0004/English/zj-c7DJ5NW4/00004.wav,./v3/faces/id0004/English/zj-c7DJ5NW4/000020425.jpg,id0004,./facenetfeats/v3\faces\id0004\English\zj-c7DJ5NW4\000020425.npy,2.0,./ecappafeats/v3\voices\id0004\English\zj-c7DJ5NW4\00004.npy,./wavlmsvfeats/v3\voices\id0004\English\zj-c7DJ5NW4\00004.npy
./v3/voices/id0004/English/zj-c7DJ5NW4/00005.wav,./v3/faces/id0004/English/zj-c7DJ5NW4/000150175.jpg,id0004,./facenetfeats/v3\faces\id0004\English\zj-c7DJ5NW4\000150175.npy,2.0,./ecappafeats/v3\voices\id0004\English\zj-c7DJ5NW4\00005.npy,./wavlmsvfeats/v3\voices\id0004\English\zj-c7DJ5NW4\00005.npy
./v3/voices/id0004/English/zj-c7DJ5NW4/00006.wav,./v3/faces/id0004/English/zj-c7DJ5NW4/000040050.jpg,id0004,./facenetfeats/v3\faces\id0004\English\zj-c7DJ5NW4\000040050.npy,2.0,./ecappafeats/v3\voices\id0004\English\zj-c7DJ5NW4\00006.npy,./wavlmsvfeats/v3\voices\id0004\English\zj-c7DJ5NW4\00006.npy
./v3/voices/id0004/English/zj-c7DJ5NW4/00007.wav,./v3/faces/id0004/English/zj-c7DJ5NW4/000020025.jpg,id0004,./facenetfeats/v3\faces\id0004\English\zj-c7DJ5NW4\000020025.npy,2.0,./ecappafeats/v3\voices\id0004\English\zj-c7DJ5NW4\00007.npy,./wavlmsvfeats/v3\voices\id0004\English\zj-c7DJ5NW4\00007.npy
./v3/voices/id0004/English/zj-c7DJ5NW4/00008.wav,./v3/faces/id0004/English/zj-c7DJ5NW4/000230075.jpg,id0004,./facenetfeats/v3\faces\id0004\English\zj-c7DJ5NW4\000230075.npy,2.0,./ecappafeats/v3\voices\id0004\English\zj-c7DJ5NW4\00008.npy,./wavlmsvfeats/v3\voices\id0004\English\zj-c7DJ5NW4\00008.npy
./v3/voices/id0004/English/zj-c7DJ5NW4/00009.wav,./v3/faces/id0004/English/zj-c7DJ5NW4/000180125.jpg,id0004,./facenetfeats/v3\faces\id0004\English\zj-c7DJ5NW4\000180125.npy,2.0,./ecappafeats/v3\voices\id0004\English\zj-c7DJ5NW4\00009.npy,./wavlmsvfeats/v3\voices\id0004\English\zj-c7DJ5NW4\00009.npy
